,STATE/UT,RAPE,KIDNAPPING,DOWRY,ASSAULT,INSULT,CRUELTY,TRAFFECKING
258,MADHYA PRADESH,2937,736,805,6445,758,3185,0
259,MAHARASHTRA,1558,998,390,3619,1091,7829,0
260,MANIPUR,38,87,1,57,0,28,0
261,MEGHALAYA,88,25,2,54,4,32,0
262,MIZORAM,77,1,0,78,0,5,0
263,NAGALAND,19,7,0,15,1,4,0
264,ODISHA,1113,762,401,2782,282,1618,0
265,PUNJAB,517,514,128,388,49,984,0
266,RAJASTHAN,1355,1863,439,2520,19,8113,0
267,SIKKIM,20,4,0,19,0,5,0
268,TAMIL NADU,573,1160,207,1705,974,1648,0
269,TRIPURA,204,110,16,346,4,735,0
270,UTTAR PRADESH,1871,4439,2237,2955,3374,8312,0
271,UTTARAKHAND,87,222,73,120,306,340,0
272,WEST BENGAL,2263,1907,451,2396,94,13663,5
273,A&N ISLANDS,12,13,2,24,3,26,0
274,CHANDIGARH,20,42,3,19,2,49,0
275,D&N HAVELI,6,11,0,4,0,4,0
276,DAMAN & DIU,0,1,0,2,1,5,0
277,DELHI,466,1136,129,611,130,1387,0
278,LAKSHADWEEP,2,1,0,0,0,1,0
279,PUDUCHERRY,8,9,2,65,21,12,0
280,ANDHRA PRADESH,1188,1526,546,5147,3520,11297,0
281,ARUNACHAL PRADESH,59,28,0,58,6,13,0
282,ASSAM,1631,2092,170,1342,10,4398,1
283,BIHAR,929,1986,1295,726,12,2532,31
284,CHHATTISGARH,976,229,128,1598,152,893,0
285,GOA,47,22,3,37,10,21,0
286,GUJARAT,433,1162,24,727,114,5506,0
287,HARYANA,603,659,281,451,605,2617,0
288,HIMACHAL PRADESH,183,122,1,318,37,284,0
289,JAMMU & KASHMIR,237,825,12,972,371,196,0
290,JHARKHAND,719,517,295,276,83,710,6
291,KARNATAKA,509,408,264,2186,64,3185,2
292,KERALA,568,173,20,2540,395,4007,0
293,MADHYA PRADESH,2998,841,858,6307,728,3983,1
294,MAHARASHTRA,1483,926,341,3196,1099,7681,0
295,MANIPUR,31,97,0,39,2,25,0
296,MEGHALAYA,112,26,0,72,1,24,1
297,MIZORAM,83,0,0,61,1,4,0
298,NAGALAND,22,10,0,11,0,0,0
299,ODISHA,1023,799,384,2697,210,2047,1
300,PUNJAB,511,513,126,319,33,1061,0
301,RAJASTHAN,1519,2310,436,2485,24,10371,0
302,SIKKIM,18,6,0,10,0,6,0
303,TAMIL NADU,596,1133,194,1242,501,1460,0
304,TRIPURA,190,92,29,384,5,815,0
305,UTTAR PRADESH,1759,5078,2232,2782,2524,8566,0
306,UTTARAKHAND,111,247,94,119,249,361,0
307,WEST BENGAL,2336,2187,506,1942,108,16112,5
308,A&N ISLANDS,18,14,1,30,7,21,0
309,CHANDIGARH,29,36,2,26,2,51,0
310,D&N HAVELI,4,9,0,2,1,3,0
311,DAMAN & DIU,1,0,0,4,1,3,0
312,DELHI,469,1655,141,552,118,1283,0
313,LAKSHADWEEP,1,0,0,0,0,0,0
314,PUDUCHERRY,1,13,0,53,16,10,0
315,ANDHRA PRADESH,1362,1531,588,4634,4562,12080,0
316,ARUNACHAL PRADESH,47,46,0,84,1,12,0
317,ASSAM,1721,2767,175,1400,20,5410,0
318,BIHAR,795,2569,1257,534,16,2271,8
319,CHHATTISGARH,1012,279,115,1706,182,861,2
320,GOA,36,18,1,36,16,17,0
321,GUJARAT,408,1290,19,668,110,5600,0
322,HARYANA,720,714,284,476,580,2720,0
323,HIMACHAL PRADESH,160,162,2,350,78,275,0
324,JAMMU & KASHMIR,245,840,9,1038,262,211,0
325,JHARKHAND,773,696,276,245,16,650,8
326,KARNATAKA,586,586,248,2544,83,3441,0
327,KERALA,634,184,22,2936,537,4797,0
328,MADHYA PRADESH,3135,1030,892,6646,918,3756,5
329,MAHARASHTRA,1599,1124,393,3661,1180,7434,0
330,MANIPUR,34,107,0,31,0,18,0
331,MEGHALAYA,149,37,0,48,0,24,0
332,MIZORAM,92,0,0,75,0,3,0
333,NAGALAND,16,6,0,13,3,1,0
334,ODISHA,1025,912,388,2905,232,2067,5
335,PUNJAB,546,576,121,349,38,1163,0
336,RAJASTHAN,1571,2477,462,2339,23,11145,0
337,SIKKIM,18,6,1,11,0,3,0
